Time,Power(MW)
01/01/2016 00:00,0
01/01/2016 00:15,0
01/01/2016 00:30,0
01/01/2016 00:45,0
01/01/2016 01:00,0
01/01/2016 01:15,0
01/01/2016 01:30,0
01/01/2016 01:45,0
01/01/2016 02:00,0
01/01/2016 02:15,0
01/01/2016 02:30,0
01/01/2016 02:45,0
01/01/2016 03:00,0
01/01/2016 03:15,0
01/01/2016 03:30,0
01/01/2016 03:45,0
01/01/2016 04:00,0
01/01/2016 04:15,0
01/01/2016 04:30,0
01/01/2016 04:45,0
01/01/2016 05:00,0
01/01/2016 05:15,0
01/01/2016 05:30,0
01/01/2016 05:45,0
01/01/2016 06:00,0
01/01/2016 06:15,0
01/01/2016 06:30,0
01/01/2016 06:45,0
01/01/2016 07:00,0
01/01/2016 07:15,0
01/01/2016 07:30,0
01/01/2016 07:45,0
01/01/2016 08:00,0
01/01/2016 08:15,0
01/01/2016 08:30,0
01/01/2016 08:45,0.95
01/01/2016 09:00,46.98
01/01/2016 09:15,94.18
01/01/2016 09:30,146.12
01/01/2016 09:45,194.89
01/01/2016 10:00,237.24
01/01/2016 10:15,297.21
01/01/2016 10:30,350.22
01/01/2016 10:45,415.26
01/01/2016 11:00,484.94
01/01/2016 11:15,556.47
01/01/2016 11:30,606.96
01/01/2016 11:45,588
01/01/2016 12:00,562.31
01/01/2016 12:15,556.39
01/01/2016 12:30,550.58
01/01/2016 12:45,537.64
01/01/2016 13:00,513.39
01/01/2016 13:15,468.17
01/01/2016 13:30,400.96
01/01/2016 13:45,344.96
01/01/2016 14:00,288.37
01/01/2016 14:15,239.45
01/01/2016 14:30,199.29
01/01/2016 14:45,164.36
01/01/2016 15:00,134.08
01/01/2016 15:15,106.43
01/01/2016 15:30,77.57
01/01/2016 15:45,49.2
01/01/2016 16:00,25.69
01/01/2016 16:15,8.58
01/01/2016 16:30,0.82
01/01/2016 16:45,0
01/01/2016 17:00,0
01/01/2016 17:15,0
01/01/2016 17:30,0
01/01/2016 17:45,0
01/01/2016 18:00,0
01/01/2016 18:15,0
01/01/2016 18:30,0
01/01/2016 18:45,0
01/01/2016 19:00,0
01/01/2016 19:15,0
01/01/2016 19:30,0
01/01/2016 19:45,0
01/01/2016 20:00,0
01/01/2016 20:15,0
01/01/2016 20:30,0
